Metric,Value
tip_z_peak_abs,0.0510204425853405
tip_z_rms,0.0371972243793428
tip_z_norm_pct_peak_abs,9.27644410642554
tip_z_norm_pct_rms,6.76313170533505
M_R_peak_abs,0
M_R_rms,0
M_R_rms_trapz,0
roll_peak_deg,NaN
pitch_peak_deg,NaN
yaw_peak_deg,NaN
roll_rms_deg,NaN
pitch_rms_deg,NaN
yaw_rms_deg,NaN
U_mean,NaN
U_peak_dev,NaN
u_peak_rad,NaN
u_rms_rad,NaN
u_peak_deg,NaN
u_rms_deg,NaN
udot_peak_rad_s,NaN
udot_rms_rad_s,NaN
udot_peak_deg_s,NaN
udot_rms_deg_s,NaN
u_saturation_fraction,NaN
mhe_solve_mean_ms,NaN
mhe_solve_max_ms,NaN
mpc_solve_mean_ms,NaN
mpc_solve_max_ms,NaN
mhe_success_pct,NaN
mpc_success_pct,NaN
